author,description,name,state
 净无痕,介绍:    东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，执此之时，一代天骄叶青帝及东凰大帝横空出世，斩人皇，驭圣贤，诸侯臣服，东方神州一统！,伏天氏,连载
 辰东,介绍:    在破败中崛起，在寂灭中复苏。,圣墟,连载
 楚天骄林诗瑶,介绍:    在战场上浴血奋战了多年，楚天骄终于从一个碌碌无为的小兵，跃居为众人顶礼膜拜的一代战神，可是男人并没有因此而骄傲自大，因为他知道，自己前方的道路依旧漫长，重返都市，他还背负着重大责任，且看战神楚天骄将会在都市中掀起怎样的一番腥风血雨。,新绝代神龙,连载
 楚天骄林诗瑶,介绍:    在战场上浴血奋战了多年，楚天骄终于从一个碌碌无为的小兵，跃居为众人顶礼膜拜的一代战神，可是男人并没有因此而骄傲自大，因为他知道，自己前方的道路依旧漫长，重返都市，他还背负着重大责任，且看战神楚天骄将会在都市中掀起怎样的一番腥风血雨。,新绝代神龙楚天骄,连载
,,,
 疯狂的橘猫,介绍:    萧韩穿越到了异界！这里有大夏府、大明府、大唐府......       穿越过来之后，萧韩发现自己有一个经验值系统！你要跟我比拳？先等等，我先把拳法升到满级！你要跟我比剑？再等等，让我把剑法升到满级！你们要车轮战?  系统，再来2000经验的元气！       萧韩：才10个人？不够！我要打100个！......ps:看过全球高武和万族之劫之后，我像是发现了新世界的大门。我感觉自,魔族之劫,连载
 逆风前进的伱,介绍:    星域大陆自百万年前由上域道和真人以一己之力镇压异魔，自此星域大陆分为东南西北中五域之地，分别由天龙帝国、朱离帝国、虎溪帝国、云玄帝国、和羽麟帝国五大帝国统治。在这个武力为尊的大陆，以武力修炼和精神力修炼为主，每一层都有级别限制。百万年后异魔又起，而出生在云玄帝国的一群少年相互扶持，肝胆相照，一路走来历经艰难困苦，神挡杀神，佛挡杀佛，以一腔热血保卫人族，一场少年奋斗拼杀的帷幕慢慢拉开……,武主星域,连载
 风行水云间,介绍:    曾经叱咤风云冷血无情的千岁大人，一朝沦为小叫花的精神导师。不行，她请求换人！她还有远大前程，她的目标是星辰大海！但在那之前——千岁：咦，小鱼干好香啊，那个卤蹄膀也很靓！卑微的两脚兽，快去弄来给我吃。小叫花：好嘞。亲，还有顺毛服务要吗？马杀鸡服务要吗？千岁：这个嘛，那、那就先来个全套吧（吃饱喝足就蹬了他，不对，还有晚饭要解决。那么明天吧，明天一定可以的！）,大魔王娇养指南,连载
 新闻工作者,介绍:,战气凌霄,连载
 绕指微尘,介绍:    一颗神秘的陨石把徐凡带到了纷纷扰扰的元炁大陆，等待他的是如何的人生，他还能回到归处吗，为此他很迷茫。-----希望不足之处还请大家海涵,我的超凡商铺,连载
 云天空,介绍:    强者遇袭，重返少年时代，成为当年弱小的废物少主。前世的仇人，今生，绝不会放过！前世的遗憾，今生，一定要弥补！待到灵剑长啸之时，天地三界，我为至尊！若有不从者，一剑，杀之！,灵剑尊,连载
 追风千年,介绍:    生活本就艰难，小说何必复杂。,罗马全面战争之异世帝国,连载
 红叶知玄,介绍:    火影世界开始的新故事，从火葬火影开始……,木叶之影流,连载
 台式电脑,介绍:    我是体修，专修肉身，江湖人称“推土机”！我曾横推了一个时代，建立了无上辉煌的家族。以力破万法其实就是在说我！我坐化后，肉身历经千年而不灭，却被一群不孝子孙从棺材里扒了出来，用我的肉身来挡灾、灭敌……“老祖宗在上，赤鲸帮杀上门来了，长老们挡不住了，借您老遗体一用！”“老祖宗原谅，天剑宗又杀来了，族长都被打的吐血了，得借你老遗体挡一挡！”直到有一天……“每次都把老祖宗的,老祖宗在天有灵,连载
